"created_at";"u1";"u2";"time_interval";"frequence"
"2019-10-28 08:00:00";"1111469411345846272";"222263801";436735;1
"2019-10-28 08:00:00";"111112948";"222230541";436735;1
"2019-10-28 08:00:00";"111112948";"2222143068";436735;1
"2019-10-28 08:00:00";"111112948";"222230728";436735;1
"2019-10-28 08:00:00";"1111859115352494086";"2222143068";436735;1
"2019-10-28 08:00:00";"1111143687";"22228321";436735;1
"2019-10-28 08:00:00";"1111143687";"222220524";436735;1
"2019-10-28 08:00:00";"111199397";"22225124";436735;1
"2019-10-28 08:00:00";"1111613313";"2222106552222597120";436735;1
"2019-10-28 08:00:00";"1111613313";"2222143068";436735;1
"2019-10-28 08:00:00";"1111613313";"222234322";436735;1
"2019-10-28 08:00:00";"11119419";"2222562549615341569";436735;1
"2019-10-28 08:00:00";"11119419";"222230560560132097";436735;1
"2019-10-28 08:00:00";"111103531820843008";"2222516387";436735;1
"2019-10-28 08:00:00";"111103531820843008";"22225981";436735;1
"2019-10-28 08:00:00";"111103531820843008";"222216387508916224";436735;1
"2019-10-28 08:00:00";"111131654851661824";"2222143068";436735;1
"2019-10-28 08:00:00";"111131654851661824";"22228321";436735;1
"2019-10-28 09:00:00";"1111915990737838080";"22220549";436736;1
"2019-10-28 09:00:00";"1111824541003939841";"2222985255";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"2222977660035461120";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"2222995235154718720";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"2222551222526595072";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"222237776";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"222278395";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"2222090799";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"222272360260571137";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"222212938073440256";436736;1
"2019-10-28 09:00:00";"1111647535661600768";"222200074424700929";436736;1
"2019-10-28 09:00:00";"1111747934";"2222560798";436736;1
"2019-10-28 09:00:00";"1111747934";"222282960";436736;1
"2019-10-28 09:00:00";"1111747934";"22228989";436736;1
"2019-10-28 09:00:00";"1111228963521417216";"2222762791";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"2222977660035461120";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"2222995235154718720";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"2222466392877174785";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"2222551222526595072";436736;1
"2019-10-28 09:00:00";"1111517696791388160";"222237776";436736;1
